no,co,cl,tb,s,l,r,b,lr,rr,br,hh,ha,hs,he,ci,cw,re,la,pl,u1,u2,u3,le,sa,mw,t,pr,d,n,i,v,nx,rp,u,f,ra,h,si 
11.435,11,435,False,['l'],"[[[[8, 4], [68, 4]], '9-451']]",[],[],['MW12-2'],[],[],False,False,False,False,False,False,False,False,False,3,0,3,G,,,['SP'],None,"Provides an overview of affordable and mixed-income housing development for students who wish to understand the fundamental issues and requirements of urban scale housing development, and the process of planning, financing and developing such housing. Students gain practical experience assembling a mixed-income housing development proposal.",Mixed-Income Housing Development,"Roth, Peter",False,False,False,,False,5.8,14.2,18.0
11.437,11,437,False,['l'],"[[[[42, 3], [102, 3]], '9-451']]",[],[],['TR2-3.30'],[],[],False,False,False,False,False,False,False,False,False,4,0,8,G,,11.137,['SP'],None,Studies financing tools and program models to support and promote local economic development and housing. Overview of public and private capital markets and financing sources helps illustrate market imperfections that constrain economic and housing development and increase race and class disparaties. Explores federal housing and economic development programs as well as state and local public finance tools. Covers policies and program models. Investigates public finance practice to better understand how these finance programs affect other municipal operations. Students taking graduate version complete additional assignments. Limited to 25.,Financing Economic Development and Housing,"Levine, Jeffrey",False,False,False,,False,5.8,10.9,22.0
11.440,11,440,False,['l'],"[[[[72, 6]], '9-450A']]",[],[],['W2-5'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,G,,,['SP'],None,"Investigates how housing &mdash; markets, policies, and individual and collective actions &mdash; stratifies society. Students develop structural frameworks to understand the processes of stratification. Grounding work and research in history, students identify the ways that housing markets and housing market interventions reflect, reinforce, and (occasionally) combat social inequities. Through extensive writing and rewriting, students frame their work in terms of overlapping crises, including gentrification, flight, shortage, and homelessness.",Housing and Social Stratification in the United States,"Bunten, Devin",False,False,False,,False,0,0,0
11.452,11,452,False,['l'],"[[[[74, 4]], '9-217']]",[],[],['W3-5'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,G,,,['SP'],None,"Combines state-of-the-art research on evictions and displacement globally (in the context of the global crisis of evictions, land grabbing, and gentrification) with the study of policy and practical responses to displacement, assisted by selected case studies. First half covers explanations about the mechanisms and drivers of displacement, while the second half introduces and evaluates policy and legal responses developed by many actors. Analyzes the use of UN and national standards on displacement as well as the use of tools such as the Eviction Impact Assessment Tool. Limited to 15 graduate students.",Planning against Evictions and Displacement,"Rajagopal, Balakrishnan",False,True,False,,False,0,0,0
11.463,11,463,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,3,0,9,G,4.236,,['SP'],Permission of instructor,"Examines dynamic relationship among key actors: beneficiaries, government, and funder. Emphasis on cost recovery, affordability, replicability, user selection, and project administration. Extensive case examples provide basis for comparisons.",Structuring Low-Income Housing Projects in Developing Countries,null,True,False,False,,True,6.0,7.0,6.0
11.474,11,474,False,['l'],"[[[[38, 6]], 'N51-310']]",[],[],['T12-3'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,G,,EC.715,['SP'],None,"Focuses on disseminating Water, Sanitation, and Hygiene (WASH) innovations in low-income countries and underserved communities worldwide. Structured around project-based learning, lectures, discussions, and student-led tutorials. Emphasizes core WASH principles, appropriate and sustainable technologies at household and community scales, urban challenges worldwide, culture-specific solutions, lessons from start-ups, collaborative partnerships, and social marketing. Mentored term project entails finding and implementing a viable solution focused on education/training; a technology, policy or plan; a marketing approach; and/or behavior change. Guest lecturers present case studies, emphasizing those developed and disseminated by MIT faculty, practitioners, students, and alumni. Field trips scheduled during class time, with optional field trips on weekends.&nbsp;Students taking graduate version complete additional assignments. Limited to 20.","D-Lab: Water, Sanitation and Hygiene","Murcott, Susan",False,False,False,,False,6.1,8.2,8.3
11.494,11,494,False,['l'],"[[[[102, 6]], '9-450']]",[],[],['R2-5'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,G,,,['SP'],None,"Explores relationships between built environments and memory to consider the spaces and spatial practices in which the future of the past is imagined, negotiated, and contested. Focuses on three areas of critical importance to understanding the nature of memory in cities today: the threats that rapid urban development pose to the remembrance of urban pasts; the politics of representation evident in debates over authorized and marginalized historical narratives; and the art and ethics of sensitively addressing the afterlives of violence and tragedy. Emphasizes group discussions and projects as means to explore collective and counter memories, the communities that are formed therein, and the economic, social, and political forces that lift up certain memories over others to shape the legacy of the past. Limited to 15.",Cities of Contested Memory,"Wendel, Delia",False,True,False,,False,0,0,0
11.499,11,499,False,"['r', 'l']","[[[[42, 3]], '9-354']]","[[[[50, 2]], '9-354']]",[],['T2-3.30'],['T EVE (6 PM)'],[],False,False,False,False,False,False,False,False,False,2,0,1,G,,,['SP'],None,"Designed to give students the tools and information needed to successfully complete a master's level thesis. Seminar topics include, but are not limited to: research data sets, different types and styles of theses, the writing and editing process, library services, and the use of humans as experimental subjects in research. CRE faculty share their areas of interest to assist in choosing an advisor. Seminar assignments guide students toward developing a thesis topic and realistic work plan to adequately achieve their research and writing goals. Objective is for each student to have sufficient knowledge to author a fully developed thesis topic and formal proposal by the end of the term. Limited to MS in Real Estate Development candidates.",Master of Science in Real Estate Development Thesis Preparation,"Cameron, R.",False,False,False,,False,3.6,3.5,24.5
11.520,11,520,False,"['l', 'b', 'r']","[[[[13, 3], [73, 3]], '9-354']]","[[[[76, 2]], '9-554']]","[[[[130, 6]], '9-554']]",['MW2.30-4'],['W4'],['F1-4'],False,False,False,False,False,False,False,False,False,2,2,2,G,,,"['FA', 'SP']",11.205 or permission of instructor,"Includes spatial analysis exercises using real-world data sets, building toward an independent project in which students critically apply GIS techniques to an area of interest. Students build data discovery, cartography, and spatial analysis skills while learning to reflect on power and positionality within the research design process. Tailored to GIS applications within planning and design and emphasizes the role of reflective practice in GIS. Enrollment limited; preference to MCP students.",Workshop on Geographic Information Systems (GIS),"Williams, Sarah",False,False,False,,False,5.7,13.6,25.0
11.523,11,523,False,"['l', 'b']","[[[[46, 4]], '9-450A']]",[],"[[[[106, 4]], '9-554']]",['T EVE (4-6 PM)'],[],['R EVE (4-6 PM)'],False,False,False,False,False,False,False,False,False,2,2,2,G,,,['SP'],Permission of instructor,"The fundamentals of database management systems as applied to spatial analysis. Includes extensive hands-on exercises using real-world planning data. Introduces database management concepts, SQL (Structured Query Language), and enterprise-class database software. Same content as first half of 11.521.",Fundamentals of Spatial Database Management,"Huntley, Eric",False,False,False,,False,4.7,11.6,6.5
11.524,11,524,False,"['l', 'b']","[[[[46, 4]], '9-450A']]",[],"[[[[106, 4]], '9-554']]",['T EVE (4-6 PM)'],[],['R EVE (4-6 PM)'],False,False,False,False,False,False,False,False,False,0,0,0,G,,,['SP'],11.523 or permission of instructor,Learning and utilizing advanced geographic information system techniques in studio/lab setting with real-world client problem and complex digital spatial data infrastructure. Projects typically use the client and infrastructure setting for 11.521. Credit cannot also be received for 11.521 in the same term.,Advanced Geographic Information System Project,"Huntley, Eric",False,False,True,,False,5.5,13.5,2.5
11.526,11,526,False,['l'],"[[[[3, 3], [63, 3]], '9-255']]",[],[],['MW9.30-11'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,G,1.251,,['SP'],Permission of instructor,"Focuses on the integration of land use and transportation planning, drawing from cases in both industrialized and developing countries. Reviews underlying theories, analytical techniques, and the empirical evidence of the land use-transportation relationship at the metropolitan, intra-metropolitan, and micro-scales.  Also covers the various ways of measuring urban structure, form, and the ""built environment.""  Develops students' skills to assess relevant policies, interventions and impacts.",Comparative Land Use and Transportation Planning,"Duarte De Araujo Silva, Fabio",False,False,False,,False,4.7,10.2,21.0
11.547,11,547,False,['l'],"[[[[132, 6]], '9-255']]",[],[],['F2-5'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,G,SCM.287,,['SP'],None,"Combines classroom lectures/discussion, readings, site visits, and field study to provide students with experience in various research techniques including stakeholder analysis, interviewing, photography and image analysis, focus groups, etc. Students examine the impacts of global demographic transition, when there are more older than younger people in a population, and explore emerging challenges in the built environment (e.g., age-friendly community planning, public transportation access, acceptance of driverless cars, social wellbeing and connectivity, housing and community design, design and use of public and private spaces, and the public health implications of climate change and aging).",Global Aging & the Built Environment,"Coughlin, Joseph",False,False,False,,False,0,0,0
11.630,11,630,False,['l'],"[[[[45, 3], [105, 3]], 'E51-057']]",[],[],['TR3.30-5'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,G,"1.811, 15.663, IDS.540","1.801, 11.021, 17.393, IDS.060",['SP'],None,"Analyzes federal and state regulation of air and water pollution, hazardous waste, greenhouse gas emissions, and production/use of toxic chemicals. Analyzes pollution/climate change as economic problems and failure of markets. Explores the role of science and economics in legal decisions. Emphasizes use of legal mechanisms and alternative approaches (i.e., economic incentives, voluntary approaches) to control pollution and encourage chemical accident and pollution prevention. Focuses on major federal legislation, underlying administrative system, and common law in analyzing environmental policy, economic consequences, and role of the courts. Discusses classical pollutants and toxic industrial chemicals, greenhouse gas emissions, community right-to-know, and environmental justice. Develops basic legal skills: how to read/understand cases, regulations, and statutes. Students taking graduate version explore the subject in greater depth.","Environmental Law, Policy, and Economics: Pollution Prevention and Control","Ashford, Nicholas",False,False,False,,True,5.4,8.7,24.0
11.651,11,651,False,['l'],"[[[[73, 6]], 'E62-262']]",[],[],['W2.30-5.30'],[],[],False,False,False,False,False,False,False,False,False,3,1,5,G,15.679,,['SP'],None,"Practical exploration of community revitalization in America's small towns and rural regions. Focuses on work, community, and culture. Consists of rigorous classroom discussions, research, and team projects with community development organizations. Site visit over SIP week and spring break required for project fieldwork.",USA Lab: Bridging the American Divides,"Hafrey, Leigh",False,False,False,,False,0,0,0
11.800,11,800,False,['l'],"[[[[62, 6]], '9-450']]",[],[],['W9-12'],[],[],False,False,False,False,False,False,False,False,False,3,0,6,G,,,['SP'],11.233; [11.801],"Required subject intended solely for 1st-year DUSP PhD students. Develops capacity of doctoral students to become independent scholars by helping them to prepare their first-year papers and plan for their dissertation work. Focuses on the process by which theory, research questions, literature reviews, and new data are synthesized into new and original contributions to the literature. Seminar is conducted with intensive discussions, draft writing, peer review, revisions, and editing. Guest speakers from faculty and advanced students discuss strategies and potential pitfalls with doctoral-level research.","Reading, Writing and Research","Arcaya, Mariana",False,False,False,,False,6.3,10.7,7.5
11.801,11,801,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,3,0,6,G,,,['SP'],[11.800]; permission of instructor,Students develop a first-year research paper in consultation with their advisor.,Doctoral Research Paper,"Wellford, Sandy",True,False,False,,False,0,0,0
11.901,11,901,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SP']",Permission of instructor,Opportunity for independent study under regular supervision by a faculty member.,Independent Study:  Urban Studies and Planning,"Wellford, Sandy",True,False,True,,False,0,0,0
11.902,11,902,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SP']",Permission of instructor,Opportunity for independent study under regular supervision by a faculty member.,Independent Study: Urban Studies and Planning,"Wellford, Sandy",True,False,True,,False,0,0,0
11.903,11,903,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SP']",Permission of instructor,Reading and discussion of topics in urban studies and planning.,Supervised Readings in Urban Studies,"Wellford, Sandy",True,False,True,,False,0,0,0
11.904,11,904,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'SU', 'SP']",Permission of instructor,Reading and discussion of topics in urban studies and planning.,Supervised Readings in Urban Studies,"Wellford, Sandy",True,False,True,,False,0,0,0
11.905,11,905,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SP']",Permission of instructor,Special research issues in urban planning.,Research Seminar in Urban Studies and Planning,"Wellford, Sandy",True,False,True,,False,0,0,0
11.906,11,906,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SP']",None,Special research issues in urban planning.,Research Seminar in Urban Studies and Planning,"Wellford, Sandy",True,False,True,,False,0,0,0
11.907,11,907,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SP']",Permission of instructor,"Practical application of planning techniques to towns, cities, and regions, including problems of replanning, redevelopment, and renewal of existing communities. Includes internships, under staff supervision, in municipal and state agencies and departments.",Urban Fieldwork,"Wellford, Sandy",True,False,True,,False,0,0,0
11.908,11,908,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SP']",None,"Practical application of planning techniques to towns, cities, and regions, including problems of replanning, redevelopment, and renewal of existing communities. Includes internships, under staff supervision, in municipal and state agencies and departments.",Urban Fieldwork,"Wellford, Sandy",True,False,True,,False,0,0,0
11.912,11,912,False,['l'],"[[[[69, 2]], 'E14-140L']]",[],[],['W12.30'],[],[],False,False,False,False,False,False,False,False,False,1,1,1,G,4.275,,"['FA', 'SP']",Permission of instructor,"Introduces critical theories and contemporary practices in the field of urbanism that challenge its paradigms and advance its future. Includes theoretical linkages between ideas about the cultures of urbanization, social and political processes of development, environmental tradeoffs of city making, and the potential of design disciplines to intervene to change the future of built forms. Events and lecture series co-organized by faculty and doctoral students further engage and inform research.&nbsp; Preference to doctoral students in the Advanced Urbanism concentration.",Advanced Urbanism Colloquium,"Williams, Sarah",False,False,True,,False,7.0,4.5,2.0
11.920,11,920,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SU', 'SP']",Permission of instructor,"Familiarizes students with the practice of planning, by requiring actual experience in professional internship placements. Enables students to both apply what they are learning in their classes in an actual professional setting and to reflect, using a variety of platforms, on the learning -- personal and professional -- growing out of their internship experience. Through readings, practical experience and reflection, empirical observation, and contact with practitioners, students gain deeper general understanding of the practice of the profession.",Planning in Practice,"Daly, Mary Jane",True,False,True,,False,6.7,8.3,7.2
11.960,11,960,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SU', 'SP']",None,Opportunity for independent study under regular supervision by a faculty member.,Independent Study: Real Estate,"Kennedy, John",True,False,True,,False,0,0,0
11.961,11,961,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SU', 'SP']",None,Opportunity for independent study under regular supervision by a faculty member.,Independent Study: Real Estate,"Chegut, Andrea",True,False,True,,False,0,0,0
11.962,11,962,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SU', 'SP']",Permission of instructor,Practical application of real estate techniques in the field.,Fieldwork: Real Estate,"Saiz, Albert",True,False,True,,False,0,0,0
11.963,11,963,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SU', 'SP']",Permission of instructor,Opportunity for independent study under regular supervision by a faculty member.,Independent Study: Real Estate,"Hughes, Mary",True,False,True,,False,0,0,0
11.964,11,964,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SU', 'SP']",Permission of instructor,Opportunity for independent study under regular supervision by a faculty member.,Independent Study: Real Estate,"Hughes, Mary",True,False,True,,False,0,0,0
11.S187,11,S187,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,U,,,['SP'],None,For undergraduates wishing to pursue further study or fieldwork in specialized areas of urban studies or city and regional planning not covered in regular subjects of instruction.,Special Subject: Urban Studies and Planning,"Elliott, Sandra",True,False,True,,False,0.0,0.0,0.0
11.S189,11,S189,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,U,,,['SP'],None,For undergraduates wishing to pursue further study or fieldwork in specialized areas of urban studies or city and regional planning not covered in regular subjects of instruction.,Special Subject: Urban Studies and Planning,"Elliott, Sandra",True,False,True,,False,0.0,0.0,0.0
11.S196,11,S196,False,['l'],"[[[[42, 6]], '9-255']]",[],[],['T2-5'],[],[],False,False,False,False,False,False,False,False,False,0,0,0,U,,,"['FA', 'SP']",None,,Special Subject: Urban Studies and Planning,"James, Erica",False,False,True,,False,7.0,10.0,1.0
11.S940,11,S940,False,['l'],"[[[[10, 6]], '4-144']]",[],[],['M1-4'],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,['SP'],Permission of instructor,For graduate students wishing to pursue further study in advanced areas of urban studies and city and regional planning not covered in regular subjects of instruction.,Special Subject: Urban Studies and Planning,"Cadogan, Garnette",False,False,True,,False,6.3,9.3,13.0
11.S941,11,S941,False,['l'],"[[[[79, 4]], '9-450A']]",[],[],['W EVE (5.30-7.30 PM)'],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,['SP'],Permission of instructor,For graduate students wishing to pursue further study in advanced areas of urban studies and city and regional planning not covered in regular subjects of instruction.,Special Subject: Urban Studies and Planning,"Cadogan, Garnette",False,False,True,,False,6.0,7.7,15.0
11.S942,11,S942,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'SP']",Permission of instructor,For graduate students wishing to pursue further study in advanced areas of urban studies and city and regional planning not covered in regular subjects of instruction.,Special Subject: Urban Studies and Planning,"Elliott, Sandra",True,False,True,,False,6.4,6.5,7.5
11.S944,11,S944,False,['l'],"[[[[17, 3], [77, 3]], 'ROO']]",[],[],"['MW EVE (4.30-6 PM) GUND HALL,']",[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'SP']",Permission of instructor,For graduate students wishing to pursue further study in advanced areas of urban studies and city and regional planning not covered in regular subjects of instruction.,Special Subject: Urban Studies and Planning,"Sanyal, Bishwapriya",False,False,True,,False,5.4,10.2,8.0
11.S945,11,S945,False,['l'],"[[[[33, 3], [93, 3]], '9-451']]",[],[],['TR9.30-11'],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'SP']",Permission of instructor,For graduate students wishing to pursue further study in advanced areas of urban studies and city and regional planning not covered in regular subjects of instruction.,Special Subject: Urban Studies and Planning,"Crockett, Karilyn",False,False,True,,False,6.3,7.3,9.0
11.S946,11,S946,False,['l'],"[[[[42, 6]], '9-255']]",[],[],['T2-5'],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,['SP'],Permission of instructor,For graduate students wishing to pursue further study in advanced areas of urban studies and city and regional planning not covered in regular subjects of instruction.,Special Subject: Urban Studies and Planning,"James, Erica",False,False,True,,False,5.8,22.9,11.0
11.S951,11,S951,False,['l'],"[[[[124, 6]], '9-217']]",[],[],['F10-1'],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'SP']",Permission of instructor,For graduate students wishing to pursue further study in advanced areas of urban studies and city and regional planning not covered in regular subjects of instruction,Special Seminar: Urban Studies and Planning,"Ratti, Carlo",False,False,True,,False,6.1,8.0,14.0
11.S965,11,S965,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SU', 'SP']",Permission of instructor,Small group study of advanced subjects under staff supervision. For graduate students wishing to pursue further study in advanced areas of real estate not covered in regular subjects of instruction.,Special Subject: Real Estate,"Hughes, Mary",True,False,True,,False,6.3,4.9,12.0
11.S966,11,S966,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SU', 'SP']",Permission of instructor,Small group study of advanced subjects under staff supervision. For graduate students wishing to pursue further study in advanced areas of real estate not covered in regular subjects of instruction.,Special Subject: Real Estate,"Hughes, Mary",True,False,True,,False,7.0,0.0,2.0
11.S967,11,S967,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SU', 'SP']",Permission of instructor,Small group study of advanced subjects under staff supervision. For graduate students wishing to pursue further study in advanced areas of real estate not covered in regular subjects of instruction.,Special Subject: Real Estate,"Hughes, Mary",True,False,True,,False,6.6,4.2,21.3
11.S968,11,S968,False,['l'],"[[[[132, 3]], '9-357']]",[],[],['F2-3.30'],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SU', 'SP']",Permission of instructor,Small group study of advanced subjects under staff supervision.  For graduate students wishing to pursue further study in advanced areas of real estate not covered in regular subjects of instruction.,Special Seminar: Real Estate,"Lee, Seunghoon",False,False,True,,False,6.4,2.7,17.0
11.S969,11,S969,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SU', 'SP']",Permission of instructor,Small group study of advanced subjects under staff supervision. For graduate students wishing to pursue further study in advanced areas of real estate not covered in regular subjects of instruction.,Special Seminar: Real Estate,"Hughes, Mary",True,False,True,,False,6.1,3.9,12.8
11.S970,11,S970,False,['l'],"[[[[6, 3]], '4-145']]",[],[],['M11-12.30'],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'SP']",Permission of instructor,Small group study of advanced subjects under staff supervision. For graduate students wishing to pursue further study in advanced areas of real estate not covered in regular subjects of instruction.,Special Seminar: Real Estate,"Scott, James",False,False,True,,False,5.8,2.4,7.3
11.THG,11,THG,False,['l'],"[[[[92, 4]], '32-155']]",[],[],['R9-11'],[],[],False,False,False,False,False,False,False,False,False,0,0,0,G,,,"['FA', 'JA', 'SU', 'SP']",Permission of instructor,Program of research and writing of thesis; to be arranged by the student with supervising committee.,Graduate Thesis,"Rushman, Ellen",False,False,True,,False,4.8,8.3,110.8
11.THU,11,THU,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,U,,,"['FA', 'JA', 'SU', 'SP']",11.THT,Program of research leading to the writing of an SB thesis. To be arranged by the student under approved supervision.,Undergraduate Thesis,"Elliott, Sandra",True,False,True,,False,0,0,0
11.UR,11,UR,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,U,,,"['FA', 'JA', 'SU', 'SP']",None,"Undergraduate research opportunities in Urban Studies and Planning. For further information, consult the Departmental Coordinators.",Undergraduate Research,"Elliott, Sandra",True,False,True,,False,0,0,0
11.URG,11,URG,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,U,,,"['FA', 'JA', 'SU', 'SP']",None,"Undergraduate research opportunities in Urban Studies and Planning. For further information, consult the Departmental Coordinators.",Undergraduate Research,"Elliott, Sandra",True,False,True,,False,0,0,0
12.00,12,00,False,['l'],"[[[[42, 4]], '54-824']]",[],[],['T2-4'],[],[],False,False,False,False,False,False,False,False,False,2,0,0,U,,,['SP'],None,"Provides a broad overview of topics, technologies, and career paths at the forefront of Earth, Atmospheric and Planetary Sciences. Introduces the complex interplay between physics, mathematics, chemistry, biology, and computational methods used to study processes associated with a changing Earth and climate, distant planets, and life. Sessions guided by faculty members discussing current research problems, and by EAPS alumni describing how their careers have evolved. Subject can count toward the 6-unit discovery-focused credit limit for first year students.","Frontiers and Careers in Earth, Planets, Climate, and Life","Herring, Thomas",False,False,False,,False,7.0,2.0,3.0
12.002,12,002,False,['l'],"[[[[69, 3], [129, 3]], '66-154']]",[],[],['WF12.30-2'],[],[],False,False,False,False,False,False,True,False,False,3,1,8,U,,,['SP'],Calculus II (GIR) and Physics II (GIR),"Study of the structure, composition, and physical processes governing the terrestrial planets, including their formation and basic orbital properties. Topics include plate tectonics, earthquakes, seismic waves, rheology, impact cratering, gravity and magnetic fields, heat flux, thermal structure, mantle convection, deep interiors, planetary magnetism, and core dynamics. Suitable for majors and non-majors seeking general background in geophysics and planetary structure.",Introduction to Geophysics and Planetary Science,"Royden, Leigh",False,False,False,,True,5.4,7.3,8.5
12.007,12,007,False,['l'],"[[[[36, 3], [96, 3]], '54-819']]",[],[],['TR11-12.30'],[],[],False,False,False,False,False,False,False,False,False,3,0,9,U,,,['SP'],None,"Surveys the interactive Earth system: biology in geologic, environmental and climate change throughout Earth's history. Introduces the concept of &quot;life as a geological agent&quot; and examines the interaction between biology and the Earth system during the roughly 4 billion years since life first appeared. Topics include the origin of the solar system and the early Earth atmosphere; the origin and evolution of life and its influence on climate up through and including the modern age and the problem of global warming; the global carbon cycle; and astrobiology.",Geobiology: History of Life on Earth,"Fournier, Gregory",False,False,False,,False,4.9,7.5,20.0
12.011,12,011,False,['l'],"[[[[22, 6]], '6-120']]",[],[],['M EVE (7-10 PM)'],[],[],False,False,True,False,False,False,False,False,False,3,1,5,U,"3.985, 5.24",,['SP'],Chemistry (GIR) or Physics I (GIR),"Pressing issues in archaeology as an anthropological science. Stresses the natural science and engineering methods archaeologists use to address these issues. Reconstructing time, space, and human ecologies provides one focus; materials technologies that transform natural materials to material culture provide another. Topics include 14C dating, ice core and palynological analysis, GIS and other remote sensing techniques for site location, organic residue analysis, comparisons between Old World and New World bronze production, invention of rubber by Mesoamerican societies, analysis and conservation of Dead Sea Scrolls.",Archaeological Science,"Lechtman, Heather",False,False,False,,False,5.8,5.8,127.0
12.080,12,080,False,[],[],[],[],[],[],[],False,False,False,False,False,False,False,False,False,0,0,0,U,,,"['FA', 'JA', 'SU', 'SP']",None,"For Course 12 students participating in off-campus professional experiences related to their course of study. Before registering for this subject, students must have an offer from a company or organization, must identify an EAPS supervisor, and must receive prior approval from their advisor. Upon completion of the experience, student must submit a letter from the company or organization describing what the student accomplished, along with a substantive final report from the student approved by the EAPS supervisor. Consult departmental academic office.",Experiential Learning in EAPS,"Milardo, Brandon",True,False,True,,False,0,0,0
12.090,12,090,False,['l'],"[[[[133, 3]], '56-169']]",[],[],['F2.30-4'],[],[],False,False,False,False,False,False,False,False,False,0,0,0,U,,,"['FA', 'SP']",Permission of instructor,"Laboratory or field work in earth, atmospheric, and planetary sciences. Consult with department Education Office.","Current Topics in Earth, Atmospheric, and Planetary Sciences","Fournier, Gregory",False,False,True,,False,4.0,19.0,1.0
12.094,12,094,False,['l'],"[[[[36, 3], [96, 3]], '1-136']]",[],[],['TR11-12.30'],[],[],False,False,False,False,False,False,False,False,False,0,0,0,U,,,['SP'],Permission of instructor,Laboratory or field work in geophysics. Consult with department Education Office.,Current Topics in Geophysics,"Cattania, Camilla",False,False,True,,False,0,0,0
12.110B,12,110B,False,['l'],"[[[[13, 3], [73, 3]], '54-824']]",[],[],['MW2.30-4'],[],[],False,False,False,False,False,False,False,False,True,2,2,5,U,,12.465B,['SP'],12.110A,"Examines the fundamentals of sedimentary deposits and geological reasoning through first hand fieldwork. Students practice methods of modern geological field study off-campus during a required trip over spring break making field observations, measuring stratigraphic sections and making a sedimentological map. Relevant topics introduced are map and figure making in ArcGIS and Adobe Illustrator and sedimentary petrology. Culminates in an oral and written report built around data gathered in the field. Field sites and intervals of geologic time studied rotate annually and include Precambrian, Phanerozoic and Modern depositional environments. Satisfies 6 units of Institute Laboratory credit. May be taken multiple times for credit. Students taking graduate version complete additional assignments.",Sedimentology in the Field,"Bergmann, Kristin",False,False,True,,False,5.2,8.2,6.0
12.116,12,116,False,['b'],[],[],"[[[[68, 4]], '54-1029']]",[],[],['W12-2'],False,False,False,False,False,False,False,False,True,0,2,4,U,,,['SP'],12.115,"Includes in-depth laboratory analysis of samples, interpretation of geological data, and where possible, geophysical and geochemical data.  Includes the preparation of reports based on the field studies conducted in 12.115 during January; report generally exceeds 30 pages in length and includes one major revision and rewrite. Instruction in writing techniques provided. Contact department regarding travel fee and resources for funding opportunities. Satisfies 3 units of Institute Laboratory credit.",Analysis of Geologic Data,"Jagoutz, Oliver",False,True,False,,False,3.0,7.0,3.0
